iter	RMSE
194	0.3462864374
195	0.3458370275
196	0.3446428263
197	0.3439431321
198	0.3422719895
199	0.3408990313
200	0.3393296209
201	0.3384596438
202	0.3373113467
203	0.33599369
204	0.3346685019
205	0.3336451452
206	0.3324896151
207	0.3320903258
208	0.3313150786
209	0.3300939683
210	0.3273978961
211	0.3265311599
212	0.3258228049
213	0.3250450432
214	0.3235523388
215	0.3229548683
216	0.3217050955
217	0.3211299751
218	0.3199883781
219	0.3179868127
220	0.3164481273
221	0.3159237496
222	0.3152897453
223	0.3129829652
224	0.3125005144
225	0.3114375595
226	0.3109714069
227	0.3087592568
228	0.3078961205
229	0.3075125313
230	0.3071501138
231	0.306389032
232	0.3058867069
233	0.305445963
234	0.3048237465
235	0.3041620404
236	0.3036850273
237	0.3032683695
238	0.3025964717
239	0.3018715545
240	0.301205448
241	0.3007408461
242	0.2998324807
243	0.2991190966
244	0.2988613391
245	0.2984096515
246	0.2973221671
247	0.2968369734
248	0.2964486985
249	0.2959049352
250	0.2955480577
251	0.2940361665
252	0.2937066473
253	0.2931466945
254	0.292835496
255	0.2921928575
256	0.2918803965
257	0.2909043903
258	0.2894113166
259	0.2889472144
260	0.287742441
261	0.2874508857
262	0.2864832367
263	0.2856174057
264	0.2853376281
265	0.2844134123
266	0.2833141583
267	0.2828654679
268	0.2821075333
269	0.2817612982
270	0.2813475582
271	0.2805719606
272	0.280293676
273	0.2798214276
274	0.2785969829
275	0.2784644448
276	0.2774661229
277	0.2766949258
278	0.2765887038
279	0.2761936025
280	0.275859928
281	0.2751075449
282	0.2746096808
283	0.2743015209
284	0.2740532734
285	0.273756062
286	0.2733986802
287	0.2728466389
288	0.2720244856
289	0.2717031481
290	0.2711606639
291	0.2707713503
292	0.2703166326
293	0.2696634752
294	0.2694197605
295	0.2691758569
296	0.2683288224
297	0.2676455196
298	0.2666785659
299	0.2658320609
300	0.26570658
301	0.2652672106
302	0.2650405163
303	0.2647311522
304	0.2644781843
305	0.2642402818
306	0.2632712596
307	0.2621336855
308	0.2611035085
309	0.2604901971
310	0.2598395978
311	0.259525195
312	0.2588812253
313	0.2586427714
314	0.2580242586
315	0.257497549
316	0.257291164
317	0.2570788429
318	0.2562229421
319	0.2557889842
320	0.2554029395
321	0.2549750637
322	0.2546171614
323	0.2538772763
324	0.2532075193
325	0.2529826212
326	0.2527834432
327	0.252482409
328	0.2521628431
329	0.2519117526
330	0.251680898
331	0.2514237932
332	0.2511423457
333	0.2508917058
334	0.2502059987
335	0.2496061908
336	0.2490079164
337	0.2488545019
338	0.248550649
339	0.2474282481
340	0.2472342457
341	0.2470975538
342	0.2469895309
343	0.2468199118
344	0.246716122
345	0.2461272011
346	0.2457835333
347	0.2452619133
348	0.2447580703
349	0.2439699397
350	0.2435981652
351	0.2433831355
352	0.2430265469
353	0.2427137016
354	0.2415863963
355	0.2412872143
356	0.2398035119
357	0.239545011
358	0.2393132152
359	0.2391881581
360	0.2384443553
361	0.2381506504
362	0.2379851172
363	0.2377999612
364	0.2376607188
365	0.2370859598
366	0.2367827115
367	0.2364881644
368	0.2363279086
369	0.2357939452
370	0.2355367655
371	0.2349742284
372	0.2341332174
373	0.2337076088
374	0.2333311204
375	0.2329464612
376	0.2324840997
377	0.2318803955
378	0.2316471221
379	0.2309459883
380	0.2307322363
381	0.2299601412
382	0.2293113371
383	0.2290530224
384	0.2287540991
385	0.2272366122
386	0.2270350934
387	0.2267992356
388	0.226530366
389	0.226425878
390	0.2259134583
391	0.2252646215
392	0.224850914
393	0.2246591882
394	0.2244802746
395	0.224320353
396	0.2238044958
397	0.2233106462
398	0.2229549878
399	0.2227594066
400	0.2224603909
401	0.2212849366
402	0.2208289591
403	0.2207339075
404	0.2202294338
405	0.2199848658
406	0.2198489241
407	0.2197128427
408	0.2193899426
409	0.219303827
410	0.2190288185
411	0.2187353654
412	0.2184073627
413	0.2178454048
414	0.2174866574
415	0.2170828674
416	0.2167038176
417	0.2161585451
418	0.2156932866
419	0.2152244131
420	0.2148388812
421	0.2143978014
422	0.2141493965
423	0.2134747894
424	0.2131674951
425	0.2128386823
426	0.2127228536
427	0.2121233587
428	0.2119713493
429	0.2117253171
430	0.211555398
431	0.2112685021
432	0.2107023728
433	0.2105965372
434	0.2102731567
435	0.2101073194
436	0.2097098099
437	0.2093852634
438	0.2088480699
439	0.2087173018
440	0.2080851934
441	0.2079107006
442	0.2077291604
443	0.2073645938
444	0.2070026544
445	0.2065549252
446	0.2062496316
447	0.2056924525
448	0.2055954543
449	0.2051736248
450	0.2043968185
451	0.2039583259
452	0.2032989717
453	0.203121521
454	0.2028972933
455	0.2025998771
456	0.2023803388
457	0.2020015764
458	0.2018844716
459	0.2014867904
460	0.2012339906
461	0.2008150216
462	0.2005951117
463	0.2005423036
464	0.2002865045
465	0.2000610573
466	0.1998507429
467	0.1994160398
468	0.1993043162
469	0.1987293809
470	0.1984546198
471	0.1982027487
472	0.1977355857
473	0.1976053076
474	0.1971807359
475	0.1970677835
476	0.196758246
477	0.1965589446
478	0.1961417628
479	0.1957782186
480	0.1954290099
481	0.1951332167
482	0.1947739919
483	0.1946451398
484	0.1945203688
485	0.1944424961
486	0.1940813162
487	0.1936781589
488	0.193259539
489	0.1931872103
490	0.193040615
491	0.1926453264
492	0.1924344108
493	0.1920753356
494	0.1916562156
495	0.1914511238
496	0.1910966713
497	0.1910176873
498	0.1906884245
499	0.1902765633
